WDCAS03CD,WDCAS03NM
00NLPZ,Llay
00NLQA,Maesydre
00NLQB,Marchwiel
00NLQC,Marford and Hoseley
00NLQD,Minera
00NLQE,New Broughton
00NLQF,Offa
00NLQG,Overton
00NLQH,Pant
00NLQJ,Penycae
00NLQK,Penycae and Ruabon South
00NLQL,Plas Madoc
00NLQM,Ponciau
00NLQN,Queensway
00NLQP,Rhosnesni
00NLQQ,Rossett
00NLQR,Ruabon
00NLQS,Smithfield
00NLQT,Stansty
00NLQU,Whitegate
00NLQW,Wynnstay
00NNQG,Aber-craf
00NNQH,Banwy
00NNQJ,Beguildy
00NNQK,Berriew
00NNQL,Blaen Hafren
00NNQM,Bronllys
00NNQN,Builth
00NNQP,Bwlch
00NNQQ,Caersws
00NNQR,Churchstoke
00NNQS,Crickhowell
00NNQT,Cwm-twrch
00NNQU,Disserth and Trecoed
00NNQW,Dolforwyn
00NNQX,Felin-fâch
00NNQY,Forden
00NNQZ,Glantwymyn
00NNRA,Glasbury
00NNRB,Guilsfield
00NNRC,Gwernyfed
00NNRD,Hay
00NNRE,Kerry
00NNRF,Knighton
00NNRG,Llanafanfawr
00NNRH,Llanbadarn Fawr
00NNRJ,Llanbrynmair
00NNRK,Llandinam
00NNRL,Llandrindod East/Llandrindod West
00NNRM,Llandrindod North
00NNRN,Llandrindod South
00NNRP,Llandrinio
00NNRQ,Llandysilio
00NNRR,Llanelwedd
00NNRS,Llanfair Caereinion
00NNRT,Llanfihangel
00NNRU,Llanfyllin
00NNRW,Llangattock
00NNRX,Llangors
00NNRY,Llangunllo
00NNRZ,Llangynidr
00NNSA,Llanidloes
00NNSB,Llanrhaeadr-ym-Mochnant
00NNSC,Llanrhaeadr-ym-Mochnant/Llansilin
00NNSD,Llansantffraid
00NNSE,Llanwrtyd Wells
00NNSF,Llanyre
00NNSG,Machynlleth
00NNSH,Maescar/Llywel
00NNSJ,Meifod
00NNSK,Montgomery
00NNSL,Nantmel
00NNSM,Newtown Central
00NNSN,Newtown East
00NNSP,Newtown Llanllwchaiarn North
00NNSQ,Newtown Llanllwchaiarn West
00NNSR,Newtown South
00NNST,Old Radnor
00NNSU,Presteigne
00NNSW,Rhayader
00NNSX,Rhiwcynon
00NNSY,St. David Within
00NNSZ,St. John
00NNTA,St. Mary
00NNTB,Talgarth
00NNTC,Talybont-on-Usk
00NNTD,Tawe-Uchaf
00NNTE,Trewern
00NNTF,Welshpool Castle
00NNTG,Welshpool Gungrog
00NNTH,Welshpool Llanerchyddol
00NNTJ,Ynyscedwyn
00NNTK,Yscir
00NNTL,Ystradgynlais
00NQNP,Aberaeron
00NQNQ,Aberporth
00NQNR,Aberteifi/Cardigan - Mwldan
00NQNS,Aberteifi/Cardigan - Rhyd-y-Fuwch
00NQNT,Aberteifi/Cardigan - Teifi
00NQNU,Aberystwyth Bronglais
00NQNW,Aberystwyth Canol/Central
00NQNX,Aberystwyth Gogledd/North
00NQNY,Aberystwyth Penparcau
00NQNZ,Aberystwyth Rheidol
00NQPA,Beulah
00NQPB,Borth
00NQPC,Capel Dewi
00NQPD,Ceulanamaesmawr
00NQPE,Ciliau Aeron
00NQPF,Faenor
00NQPG,Lampeter
00NQPH,Llanarth
00NQPJ,Llanbadarn Fawr - Padarn
00NQPK,Llanbadarn Fawr - Sulien
00NQPL,Llandyfriog
00NQPM,Llandysiliogogo
00NQPN,Llandysul Town
00NQPP,Llanfarian
00NQPQ,Llanfihangel Ystrad
00NQPR,Llangeitho
00NQPS,Llangybi
00NQPT,Llanrhystyd
00NQPU,Llansantffraed
00NQPW,Llanwenog
00NQPX,Lledrod
00NQPY,Melindwr
00NQPZ,New Quay
00NQQA,Penbryn
00NQQB,Pen-parc
00NQQC,Tirymynach
00NQQD,Trefeurig
00NQQE,Tregaron
00NQQF,Troedyraur
00NQQG,Ystwyth
00NSPH,Amroth
00NSPJ,Burton
00NSPK,Camrose
00NSPL,Carew
00NSPM,Cilgerran
00NSPN,Clydau
00NSPP,Crymych
00NSPQ,Dinas Cross
00NSPR,East Williamston
00NSPS,Fishguard North East
00NSPT,Fishguard North West
00NSPU,Goodwick
00NSPW,Haverfordwest: Castle
00NSPX,Haverfordwest: Garth
00NSPY,Haverfordwest: Portfield
00NSPZ,Haverfordwest: Prendergast
00NSQA,Haverfordwest: Priory
00NSQB,Hundleton
00NSQC,Johnston
00NSQD,Kilgetty/Begelly
00NSQE,Lampeter Velfrey
00NSQF,Lamphey
00NSQG,Letterston
00NSQH,Llangwm
00NSQJ,Llanrhian
00NSQK,Maenclochog
00NSQL,Manorbier
00NSQM,Martletwy
00NSQN,Merlin's Bridge
00NSQP,Milford: Central
00NSQQ,Milford: East
00NSQR,Milford: Hakin
00NSQS,Milford: Hubberston
00NSQT,Milford: North
00NSQU,Milford: West
00NSQW,Narberth
00NSQX,Narberth Rural
00NSQY,Newport
00NSQZ,Neyland: East
00NSRA,Neyland: West
00NSRB,Pembroke Dock: Central
00NSRC,Pembroke Dock: Llanion
00NSRD,Pembroke Dock: Market
00NSRE,Pembroke Dock: Pennar
00NSRF,Pembroke: Monkton
00NSRG,Pembroke: St. Mary North
00NSRH,Pembroke: St. Mary South
00NSRJ,Pembroke: St. Michael
00NSRK,Penally
00NSRL,Rudbaxton
00NSRM,St. David's
00NSRN,St. Dogmaels
00NSRP,St. Ishmael's
00NSRQ,Saundersfoot
00NSRR,Scleddau
00NSRS,Solva
00NSRT,Tenby: North
00NSRU,Tenby: South
00NSRW,The Havens
00NSRX,Wiston
00NUPW,Abergwili
00NUPX,Ammanford
00NUPY,Betws
00NUPZ,Bigyn
00NUQA,Burry Port
00NUQB,Bynea
00NUQC,Carmarthen Town North
00NUQD,Carmarthen Town South
00NUQE,Carmarthen Town West
00NUQF,Cenarth
00NUQG,Cilycwm
00NUQH,Cynwyl Elfed
00NUQJ,Cynwyl Gaeo
00NUQK,Dafen
00NUQL,Elli
00NUQM,Felinfoel
00NUQN,Garnant
00NUQP,Glanamman
00NUQQ,Glanymor
00NUQR,Glyn
00NUQS,Gorslas
00NUQT,Hendy
00NUQU,Hengoed
00NUQW,Kidwelly
00NUQX,Laugharne Township
00NUQY,Llanboidy
00NUQZ,Llanddarog
00NURA,Llandeilo
00NURB,Llandovery
00NURC,Llandybie
00NURD,Llanegwad
00NURE,Llanfihangel Aberbythych
00NURF,Llanfihangel-ar-Arth
00NURG,Llangadog
00NURH,Llangeler
00NURJ,Llangennech
00NURK,Llangunnor
00NURL,Llangyndeyrn
00NURM,Llannon
00NURN,Llansteffan
00NURP,Llanybydder
00NURQ,Lliedi
00NURR,Llwynhendy
00NURS,Manordeilo and Salem
00NURT,Pembrey
00NURU,Penygroes
00NURW,Pontamman
00NURX,Pontyberem
00NURY,Quarter Bach
00NURZ,St. Clears
00NUSA,St. Ishmael
00NUSB,Saron
00NUSC,Swiss Valley
00NUSD,Trelech
00NUSE,Trimsaran
00NUSF,Tycroes
00NUSG,Tyisha
00NUSH,Whitland
00NXNW,Bishopston
00NXNX,Bonymaen
00NXNY,Castle
00NXNZ,Clydach
00NXPA,Cockett
00NXPB,Cwmbwrla
00NXPC,Dunvant
00NXPD,Fairwood
00NXPE,Gorseinon
00NXPF,Gower
00NXPG,Gowerton
00NXPH,Killay North
00NXPJ,Killay South
00NXPK,Kingsbridge
00NXPL,Landore
00NXPM,Llangyfelach
00NXPN,Llansamlet
00NXPP,Lower Loughor
00NXPQ,Mawr
00NXPR,Mayals
00NXPS,Morriston
00NXPT,Mynyddbach
00NXPU,Newton
00NXPW,Oystermouth
00NXPX,Penclawdd
00NXPY,Penderry
00NXPZ,Penllergaer
00NXQA,Pennard
00NXQB,Penyrheol
00NXQC,Pontardulais
00NXQD,St. Thomas
00NXQE,Sketty
00NXQF,Townhill
00NXQG,Uplands
00NXQH,Upper Loughor
00NXQJ,West Cross
00NZMA,Aberavon
00NZMB,Aberdulais
00NZMC,Allt-wen
00NZMD,Baglan
00NZME,Blaengwrach
00NZMF,Briton Ferry East
00NZMG,Briton Ferry West
00NZMH,Bryn and Cwmavon
00NZMJ,Bryn-coch North
00NZMK,Bryn-coch South
00NZML,Cadoxton
00NZMM,Cimla
00NZMN,Coedffranc Central
00NZMP,Coedffranc North
00NZMQ,Coedffranc West
00NZMR,Crynant
00NZMS,Cwmllynfell
00NZMT,Cymmer
00NZMU,Dyffryn
00NZMW,Glyncorrwg
00NZMX,Glynneath
00NZMY,Godre'r graig
00NZMZ,Gwaun-Cae-Gurwen
00NZNA,Gwynfi
00NZNB,Lower Brynamman
00NZNC,Margam
00NZND,Neath East
00NZNE,Neath North
00NZNF,Neath South
00NZNG,Onllwyn
00NZNH,Pelenna
00NZNJ,Pontardawe
00NZNK,Port Talbot
00NZNL,Resolven
00NZNM,Rhos
00NZNN,Sandfields East
00NZNP,Sandfields West
00NZNQ,Seven Sisters
00NZNR,Tai-bach
00NZNS,Tonna
00NZNT,Trebanos
00NZNU,Ystalyfera
00PBNF,Aberkenfig
00PBNG,Bettws
00PBNH,Blackmill
00PBNJ,Blaengarw
00PBNK,Brackla
00PBNL,Bryncethin
00PBNM,Bryncoch
00PBNN,"Bryntirion, Laleston and Merthyr Mawr"
00PBNP,Caerau
00PBNQ,Cefn Cribwr
00PBNR,Cefn Glas
00PBNS,Coity
00PBNT,Cornelly
00PBNU,Coychurch Lower
00PBNW,Felindre
00PBNX,Hendre
00PBNY,Litchard
00PBNZ,Llangeinor
00PBPA,Llangewydd and Brynhyfryd
00PBPB,Llangynwyd
00PBPC,Maesteg East
00PBPD,Maesteg West
00PBPE,Morfa
00PBPF,Nant-y-moel
00PBPG,Newcastle
00PBPH,Newton
00PBPJ,Nottage
00PBPK,Ogmore Vale
00PBPL,Oldcastle
00PBPM,Pendre
00PBPN,Penprysg
00PBPP,Pen-y-fai
00PBPQ,Pontycymmer
00PBPR,Porthcawl East Central
00PBPS,Porthcawl West Central
00PBPT,Pyle
00PBPU,Rest Bay
00PBPW,Sarn
00PBPX,Ynysawdre
00PDMZ,Baruc
00PDNA,Buttrills
00PDNB,Cadoc
00PDNC,Castleland
00PDND,Cornerswell
00PDNE,Court
00PDNF,Cowbridge
00PDNG,Dinas Powys
00PDNH,Dyfan
00PDNJ,Gibbonsdown
00PDNK,Illtyd
00PDNL,Llandough
00PDNM,Llandow/Ewenny
00PDNN,Llantwit Major
00PDNP,Peterston-super-Ely
00PDNQ,Plymouth
00PDNR,Rhoose
00PDNS,St. Athan
00PDNT,St. Augustine's
00PDNU,St. Bride's Major
00PDNW,Stanwell
00PDNX,Sully
00PDNY,Wenvoe
00PFPH,Aberaman North
00PFPJ,Aberaman South
00PFPK,Abercynon
00PFPL,Aberdare East
00PFPM,Aberdare West/Llwydcoed
00PFPN,Beddau
00PFPP,Brynna
00PFPQ,Church Village
00PFPR,Cilfynydd
00PFPS,Cwm Clydach
00PFPT,Cwmbach
00PFPU,Cymmer
00PFPW,Ferndale
00PFPX,Gilfach Goch
00PFPY,Glyncoch
00PFPZ,Graig
00PFQA,Hawthorn
00PFQB,Hirwaun
00PFQC,Llanharan
00PFQD,Llanharry
00PFQE,Llantrisant Town
00PFQF,Llantwit Fardre
00PFQG,Llwyn-y-pia
00PFQH,Maerdy
00PFQJ,Mountain Ash East
00PFQK,Mountain Ash West
00PFQL,Penrhiwceiber
00PFQM,Pentre
00PFQN,Pen-y-graig
00PFQP,Pen-y-waun
00PFQQ,Pont-y-clun
00PFQR,Pontypridd Town
00PFQS,Porth
00PFQT,Rhigos
00PFQU,Rhondda
00PFQW,Rhydfelen Central/Ilan
00PFQX,Taffs Well
00PFQY,Talbot Green
00PFQZ,Ton-teg
00PFRA,Tonypandy
00PFRB,Tonyrefail East
00PFRC,Tonyrefail West
00PFRD,Trallwng
00PFRE,Trealaw
00PFRF,Treforest
00PFRG,Treherbert
00PFRH,Treorchy
00PFRJ,Tylorstown
00PFRK,Tyn-y-nant
00PFRL,Ynyshir
00PFRM,Ynysybwl
00PFRN,Ystrad
00PHMA,Bedlinog
00PHMB,Cyfarthfa
00PHMC,Dowlais
00PHMD,Gurnos
00PHME,Merthyr Vale
00PHMF,Park
00PHMG,Penydarren
00PHMH,Plymouth
00PHMJ,Town
00PHMK,Treharris
00PHML,Vaynor
00PKNP,Aberbargoed
00PKNQ,Abercarn
00PKNR,Aber Valley
00PKNS,Argoed
00PKNT,Bargoed
00PKNU,"Bedwas, Trethomas and Machen"
00PKNW,Blackwood
00PKNX,Cefn Fforest
00PKNY,Crosskeys
00PKNZ,Crumlin
00PKPA,Darren Valley
00PKPB,Gilfach
00PKPC,Hengoed
00PKPD,Llanbradach
00PKPE,Maesycwmmer
00PKPF,Morgan Jones
00PKPG,Moriah
00PKPH,Nelson
00PKPJ,Newbridge
00PKPK,New Tredegar
00PKPL,Pengam
00PKPM,Penmaen
00PKPN,Penyrheol
00PKPP,Pontllanfraith
00PKPQ,Pontlottyn
00PKPR,Risca East
00PKPS,Risca West
00PKPT,St. Cattwg
00PKPU,St. James
00PKPW,St. Martins
00PKPX,Twyn Carno
00PKPY,Ynysddu
00PKPZ,Ystrad Mynach
00PLMA,Abertillery
00PLMB,Badminton
00PLMC,Beaufort
00PLMD,Blaina
00PLME,Brynmawr
00PLMF,Cwm
00PLMG,Cwmtillery
00PLMH,Ebbw Vale North
00PLMJ,Ebbw Vale South
00PLMK,Georgetown
00PLML,Llanhilleth
00PLMM,Nantyglo
00PLMN,Rassau
00PLMP,Sirhowy
00PLMQ,Six Bells
00PLMR,Tredegar Central and West
00PMNC,Abersychan
00PMND,Blaenavon
00PMNE,Brynwern
00PMNF,Coed Eva
00PMNG,Croesyceiliog North
00PMNH,Croesyceiliog South
00PMNJ,Cwmyniscoy
00PMNK,Fairwater
00PMNL,Greenmeadow
00PMNM,Llantarnam
00PMNN,Llanyrafon North
00PMNP,Llanyrafon South
00PMNQ,New Inn
00PMNR,Panteg
00PMNS,Pontnewydd
00PMNT,Pontnewynydd
00PMNU,Pontypool
00PMNW,St. Cadocs and Penygarn
00PMNX,St. Dials
00PMNY,Snatchwood
00PMNZ,Trevethin
00PMPA,Two Locks
00PMPB,Upper Cwmbran
00PMPC,Wainfelin
00PPNQ,Caerwent
00PPNR,Caldicot Castle
00PPNS,Cantref
00PPNT,Castle
00PPNU,Croesonen
00PPNW,Crucorney
00PPNX,Devauden
00PPNY,Dewstow
00PPNZ,Dixton with Osbaston
00PPPA,Drybridge
00PPPB,Goetre Fawr
00PPPC,Green Lane
00PPPD,Grofield
00PPPE,Lansdown
00PPPF,Larkfield
00PPPG,Llanbadoc
00PPPH,Llanelly Hill
00PPPJ,Llanfoist Fawr
00PPPK,Llangybi Fawr
00PPPL,Llanover
00PPPM,Llantilio Crossenny
00PPPN,Llanwenarth Ultra
00PPPP,Mardy
00PPPQ,Mill
00PPPR,Mitchel Troy
00PPPS,Overmonnow
00PPPT,Portskewett
00PPPU,Priory
00PPPW,Raglan
00PPPX,Rogiet
00PPPY,St. Arvans
00PPPZ,St. Christopher's
00PPQA,St. Kingsmark
00PPQB,St. Mary's
00PPQC,Severn
00PPQD,Shirenewton
00PPQE,The Elms
00PPQF,Thornwell
00PPQG,Trellech United
00PPQH,Usk
00PPQJ,West End
00PPQK,Wyesham
00PRMX,Allt-yr-yn
00PRMY,Alway
00PRMZ,Beechwood
00PRNA,Bettws
00PRNB,Caerleon
00PRNC,Gaer
00PRND,Graig
00PRNE,Langstone
00PRNF,Liswerry
00PRNG,Llanwern
00PRNH,Malpas
00PRNJ,Marshfield
00PRNK,Pillgwenlly
00PRNL,Ringland
00PRNM,Rogerstone
00PRNN,St. Julians
00PRNP,Shaftesbury
00PRNQ,Stow Hill
00PRNR,Tredegar Park
00PRNS,Victoria
00PTNF,Adamsdown
00PTNG,Butetown
00PTNH,Caerau
00PTNJ,Canton
00PTNK,Cathays
00PTNL,Creigiau/St. Fagans
00PTNM,Cyncoed
00PTNN,Ely
00PTNP,Fairwater
00PTNQ,Gabalfa
00PTNR,Grangetown
00PTNS,Heath
00PTNT,Lisvane
00PTNU,Llandaff
00PTNW,Llandaff North
00PTNX,Llanishen
00PTNY,Llanrumney
00PTNZ,Pentwyn
00PTPA,Pentyrch
00PTPB,Penylan
00PTPC,Plasnewydd
00PTPD,Pontprennau/Old St. Mellons
00PTPE,Radyr
00PTPF,Rhiwbina
00PTPG,Riverside
00PTPH,Rumney
00PTPJ,Splott
00PTPK,Trowbridge
00PTPL,Whitchurch and Tongwynlais
09UCGH,Ampthill
09UCGJ,Arlesey
09UCGK,Aspley Guise
09UCGL,Biggleswade Holme
09UCGM,Biggleswade Ivel
09UCGN,Biggleswade Stratton
09UCGP,Clifton and Meppershall
09UCGQ,Cranfield
09UCGR,"Flitton, Greenfield and Pulloxhill"
09UCGS,Flitwick East
09UCGT,Flitwick West
09UCGU,Harlington
09UCGW,"Houghton, Haynes, Southill and Old Warden"
09UCGX,Langford and Henlow Village
09UCGY,Marston
09UCGZ,Maulden and Clophill
09UCHA,Northill and Blunham
09UCHB,Potton and Wensley
09UCHC,Sandy Ivel
09UCHD,Sandy Pinnacle
09UCHE,"Shefford, Campton and Gravenhurst"
09UCHF,"Shillington, Stondon and Henlow Camp"
09UCHG,Silsoe
09UCHH,Stotfold
09UCHJ,Westoning and Tingrith
09UCHK,Woburn
09UDGE,Brickhill
09UDGF,Bromham
09UDGG,Carlton
09UDGH,Castle
09UDGJ,Cauldwell
09UDGK,Clapham
09UDGL,De Parys
09UDGM,Eastcotts
09UDGN,Goldington
09UDGP,Great Barford
09UDGQ,Harpur
09UDGR,Harrold
09UDGS,Kempston East
09UDGT,Kempston North
09UDGU,Kempston South
09UDGW,Kingsbrook
09UDGX,Newnham
09UDGY,Oakley
09UDGZ,Putnoe
09UDHA,Queen's Park
09UDHB,Riseley
09UDHC,Roxton
09UDHD,Sharnbrook
09UDHE,Turvey
09UDHF,Wilshamstead
09UDHG,Wootton
09UEGC,All Saints
09UEGD,Barton-le-Clay
09UEGE,"Caddington, Hyde and Slip End"
09UEGF,Chiltern
09UEGG,Dunstable Central
09UEGH,Eaton Bray
09UEGJ,Grovebury
09UEGK,Heath and Reach
09UEGL,Houghton Hall
09UEGM,Icknield
09UEGN,Kensworth and Totternhoe
09UEGP,Linslade
09UEGQ,Manshead
09UEGR,Northfields
09UEGS,Parkside
09UEGT,Planets
09UEGU,Plantation
09UEGW,Southcott
09UEGX,Stanbridge
09UEGY,Streatley
09UEGZ,Tithe Farm
09UEHA,Toddington
09UEHB,Watling
11UBGR,Aston Clinton
11UBGS,Aylesbury Central
11UBGT,Bedgrove
11UBGU,Bierton
11UBGW,Brill
11UBGX,Buckingham North
11UBGY,Buckingham South
11UBGZ,Cheddington
11UBHA,Coldharbour
11UBHB,Edlesborough
11UBHC,Elmhurst and Watermead
11UBHD,Gatehouse
11UBHE,Great Brickhill
11UBHF,Great Horwood
11UBHG,Grendon Underwood
11UBHH,Haddenham
11UBHJ,Long Crendon
11UBHK,Luffield Abbey
11UBHL,Mandeville and Elm Farm
11UBHM,Marsh Gibbon
11UBHN,Newton Longville
11UBHP,Oakfield
11UBHQ,Pitstone
11UBHR,Quainton
11UBHS,Quarrendon
11UBHT,Southcourt
11UBHU,Steeple Claydon
11UBHW,Stewkley
11UBHX,Tingewick
11UBHY,Waddesdon
11UBHZ,Walton Court and Hawkslade
11UBJA,Weedon
11UBJB,Wendover
11UBJC,Wing
11UBJD,Wingrave
11UBJE,Winslow
11UCGH,Amersham Common
11UCGJ,Amersham-on-the-Hill
11UCGK,Amersham Town
11UCGL,Asheridge Vale and Lowndes
11UCGM,"Ashley Green, Latimer and Chenies"
11UCGN,Austenwood
11UCGP,"Ballinger, South Heath and Chartridge"
11UCGQ,Central
11UCGR,Chalfont Common
11UCGS,Chalfont St Giles
11UCGT,Chesham Bois and Weedon Hill
11UCGU,"Cholesbury, The Lee and Bellingdon"
11UCGW,Gold Hill
11UCGX,Great Missenden
11UCGY,Hilltop and Townsend
11UCGZ,Holmer Green
11UCHA,Little Chalfont
11UCHB,Little Missenden
11UCHC,Newtown
11UCHD,Penn and Coleshill
11UCHE,Prestwood and Heath End
11UCHF,Ridgeway
11UCHG,St Mary's and Waterside
11UCHH,Seer Green
11UCHJ,Vale
11UEFX,Beaconsfield North
11UEFY,Beaconsfield South
11UEFZ,Beaconsfield West
11UEGA,Burnham Beeches
11UEGB,Burnham Church
11UEGC,Burnham Lent Rise
11UEGD,Denham North
11UEGE,Denham South
11UEGF,Dorney and Burnham South
11UEGG,Farnham Royal
11UEGH,Gerrards Cross East and Denham South West
11UEGJ,Gerrards Cross North
11UEGK,Gerrards Cross South
11UEGL,Hedgerley and Fulmer
11UEGM,Iver Heath
11UEGN,Iver Village and Richings Park
11UEGP,Stoke Poges
11UEGQ,Taplow
11UEGR,Wexham and Iver West
11UFGK,Abbey
11UFGL,Bledlow and Bradenham
11UFGM,Booker and Cressex
11UFGN,Bourne End-cum-Hedsor
11UFGP,Bowerdean
11UFGQ,Chiltern Rise
11UFGR,Disraeli
11UFGS,Downley and Plomer Hill
11UFGT,Flackwell Heath and Little Marlow
11UFGU,Greater Hughenden
11UFGW,Greater Marlow
11UFGX,Hambleden Valley
11UFGY,Hazlemere North
11UFGZ,Hazlemere South
11UFHA,Icknield
11UFHB,"Lacey Green, Speen and the Hampdens"
11UFHC,Marlow North and West
11UFHD,Marlow South East
11UFHE,Micklefield
11UFHF,Oakridge and Castlefield
11UFHG,Ryemead
11UFHH,Sands
11UFHJ,Stokenchurch and Radnage
11UFHK,Terriers and Amersham Hill
11UFHL,Totteridge
11UFHM,The Risboroughs
11UFHN,The Wooburns
11UFHP,Tylers Green and Loudwater
12UBFQ,Abbey
12UBFR,Arbury
12UBFS,Castle
12UBFT,Cherry Hinton
12UBFU,Coleridge
12UBFW,East Chesterton
12UBFX,King's Hedges
12UBFY,Market
12UBFZ,Newnham
12UBGA,Petersfield
12UBGB,Queen Edith's
12UBGC,Romsey
12UBGD,Trumpington
12UBGE,West Chesterton
12UCFU,Bottisham
12UCFW,Burwell
12UCFX,Cheveley
12UCFY,Downham Villages
12UCFZ,Dullingham Villages
12UCGA,Ely East
12UCGB,Ely North
12UCGC,Ely South
12UCGD,Ely West
12UCGE,Fordham Villages
12UCGF,Haddenham
12UCGG,Isleham
12UCGH,Littleport East
12UCGJ,Littleport West
12UCGK,Soham North
12UCGL,Soham South
12UCGM,Stretham
12UCGN,Sutton
12UCGP,The Swaffhams
12UDGC,Bassenhally
12UDGD,"Benwick, Coates and Eastrea"
12UDGE,Birch
12UDGF,Clarkson
12UDGG,Delph
12UDGH,Doddington
12UDGJ,Elm and Christchurch
12UDGK,Hill
12UDGL,Kingsmoor
12UDGM,Kirkgate
12UDGN,Lattersey
12UDGP,Manea
12UDGQ,March East
12UDGR,March North
12UDGS,March West
12UDGT,Medworth
12UDGU,Parson Drove and Wisbech St Mary
12UDGW,Peckover
12UDGX,Roman Bank
12UDGY,St Andrews
12UDGZ,St Marys
12UDHA,Slade Lode
12UDHB,Staithe
12UDHC,The Mills
12UDHD,Waterlees
12UDHE,Wenneye
12UDHF,Wimblington
12UEGM,Alconbury and The Stukeleys
12UEGN,Brampton
12UEGP,Buckden
12UEGQ,Earith
12UEGR,Ellington
12UEGS,Elton and Folksworth
12UEGT,Fenstanton
12UEGU,Godmanchester
12UEGW,Gransden and The Offords
12UEGX,Huntingdon East
12UEGY,Huntingdon North
12UEGZ,Huntingdon West
12UEHA,Kimbolton and Staughton
12UEHB,Little Paxton
12UEHC,Ramsey
12UEHD,St Ives East
12UEHE,St Ives South
12UEHF,St Ives West
12UEHG,St Neots Eaton Ford
12UEHH,St Neots Eaton Socon
12UEHJ,St Neots Eynesbury
12UEHK,St Neots Priory Park
12UEHL,Sawtry
12UEHM,Somersham
12UEHN,Stilton
12UEHP,The Hemingfords
12UEHQ,Upwood and The Raveleys
12UEHR,Warboys and Bury
12UEHS,Yaxley and Farcet
12UGGW,Balsham
12UGGX,Bar Hill
12UGGY,Barton
12UGGZ,Bassingbourn
12UGHA,Bourn
12UGHB,Caldecote
12UGHC,Comberton
12UGHD,Cottenham
12UGHE,Duxford
12UGHF,Fowlmere and Foxton
12UGHG,Fulbourn
12UGHH,Gamlingay
12UGHJ,Girton
12UGHK,Hardwick
12UGHL,Harston and Hauxton
12UGHM,Haslingfield and The Eversdens
12UGHN,Histon and Impington
12UGHP,Linton
12UGHQ,Longstanton
12UGHR,Melbourn
12UGHS,Meldreth
12UGHT,Milton
12UGHU,Orwell and Barrington
12UGHW,Papworth and Elsworth
12UGHX,Sawston
12UGHY,Swavesey
12UGHZ,Teversham
12UGJA,The Abingtons
12UGJB,The Mordens
12UGJC,The Shelfords and Stapleford
12UGJD,The Wilbrahams
12UGJE,Waterbeach
12UGJF,Whittlesford
12UGJG,Willingham and Over
13UBGE,Barrow
13UBGF,Blacon Hall
13UBGG,Blacon Lodge
13UBGH,Boughton
13UBGJ,Boughton Heath
13UBGK,Christleton
13UBGL,City & St Anne's
13UBGM,College
13UBGN,Curzon & Westminster
13UBGP,Dodleston
13UBGQ,Elton
13UBGR,Farndon
13UBGS,Handbridge & St Mary's
13UBGT,Hoole All Saints
13UBGU,Hoole Groves
13UBGW,Huntington
13UBGX,Kelsall
13UBGY,Lache Park
13UBGZ,Malpas
13UBHA,Mickle Trafford
13UBHB,Mollington
13UBHC,Newton Brook
13UBHD,Newton St Michaels
13UBHE,Saughall
13UBHF,Tarvin
13UBHG,Tattenhall
13UBHH,Tilston
13UBHJ,Upton Grange
13UBHK,Upton Westlea
13UBHL,Vicars Cross
13UBHM,Waverton
13UCFU,Alsager Central
13UCFW,Alsager East
13UCFX,Alsager West
13UCFY,Astbury
13UCFZ,Brereton
13UCGA,Buglawton
13UCGB,Congleton Central
13UCGC,Congleton North
13UCGD,Congleton North West
13UCGE,Congleton South
13UCGF,Congleton West
13UCGG,Dane Valley
13UCGH,Holmes Chapel
13UCGJ,Lawton
13UCGK,Middlewich Cledford
13UCGL,Middlewich Kinderton
13UCGM,Odd Rode
13UCGN,Sandbach East
13UCGP,Sandbach North
13UCGQ,Sandbach West
13UDGD,Acton
13UDGE,Alexandra
13UDGF,Audlem
13UDGG,Barony Weaver
13UDGH,Birchin
13UDGJ,Bunbury
13UDGK,Coppenhall
13UDGL,Delamere
13UDGM,Englesea
13UDGN,Grosvenor
13UDGP,Haslington
13UDGQ,Leighton
13UDGR,Maw Green
13UDGS,Minshull
13UDGT,Peckforton
13UDGU,St Barnabas
13UDGW,St John's
13UDGX,St Mary's
13UDGY,Shavington
13UDGZ,Valley
13UDHA,Waldron
13UDHB,Wellington
13UDHC,Wells Green
13UDHD,Willaston
13UDHE,Wistaston Green
13UDHF,Wrenbury
13UDHG,Wybunbury
13UEFU,Burton & Ness
13UEFW,Central
13UEFX,Grange
13UEFY,Groves
13UEFZ,Ledsham
13UEGA,Little Neston
13UEGB,Neston
13UEGC,Parkgate
13UEGD,Pooltown
13UEGE,Rivacre
13UEGF,Riverside
13UEGG,Rossmore
13UEGH,Stanlow & Wolverham
13UEGJ,Strawberry Fields
13UEGK,Sutton
13UEGL,Sutton Green & Manor
13UEGM,Westminster
13UEGN,Whitby
13UEGP,Willaston & Thornton
13UGGN,Alderley Edge
13UGGP,Bollington Central
13UGGQ,Bollington East
13UGGR,Bollington West
13UGGS,Chelford
13UGGT,Dean Row
13UGGU,Disley & Lyme Handley
13UGGW,Fulshaw
13UGGX,Gawsworth
13UGGY,Handforth
13UGGZ,Henbury
13UGHA,High Legh
13UGHB,Hough
13UGHC,Knutsford Bexton
13UGHD,Knutsford Nether
13UGHE,Knutsford Norbury Booths
13UGHF,Knutsford Over
13UGHG,Lacey Green
13UGHH,Macclesfield Bollinbrook
