WDSTL05CD,WDSTL05NM
00MANP,Winkfield and Cranbourne
00MBNJ,Aldermaston
00MBNK,Basildon
00MBNL,Birch Copse
00MBNM,Bucklebury
00MBNN,Burghfield
00MBNP,Calcot
00MBNQ,Chieveley
00MBNR,Clay Hill
00MBNS,Cold Ash
00MBNT,Compton
00MBNU,Downlands
00MBNW,Falkland
00MBNX,Greenham
00MBNY,Hungerford
00MBNZ,Kintbury
00MBPA,Lambourn Valley
00MBPB,Mortimer
00MBPC,Northcroft
00MBPD,Pangbourne
00MBPE,Purley on Thames
00MBPF,St Johns
00MBPG,Speen
00MBPH,Sulhamstead
00MBPJ,Thatcham Central
00MBPK,Thatcham North
00MBPL,Thatcham South and Crookham
00MBPM,Thatcham West
00MBPN,Theale
00MBPP,Victoria
00MBPQ,Westwood
00MCMR,Abbey
00MCMS,Battle
00MCMT,Caversham
00MCMU,Church
00MCMW,Katesgrove
00MCMX,Kentwood
00MCMY,Mapledurham
00MCMZ,Minster
00MCNA,Norcot
00MCNB,Park
00MCNC,Peppard
00MCND,Redlands
00MCNE,Southcote
00MCNF,Thames
00MCNG,Tilehurst
00MCNH,Whitley
00MDMQ,Baylis and Stoke
00MDMR,Britwell
00MDMS,Central
00MDMT,Chalvey
00MDMU,Cippenham Green
00MDMW,Cippenham Meadows
00MDMX,Colnbrook with Poyle
00MDMY,Farnham
00MDMZ,Foxborough
00MDNA,Haymill
00MDNB,Kedermister
00MDNC,Langley St Mary's
00MDND,Upton
00MDNE,Wexham Lea
00MEMZ,Ascot and Cheapside
00MENA,Belmont
00MENB,Bisham and Cookham
00MENC,Boyn Hill
00MEND,Bray
00MENE,Castle Without
00MENF,Clewer East
00MENG,Clewer North
00MENH,Clewer South
00MENJ,Cox Green
00MENK,Datchet
00MENL,Eton and Castle
00MENM,Eton Wick
00MENN,Furze Platt
00MENP,Horton and Wraysbury
00MENQ,Hurley and Walthams
00MENR,Maidenhead Riverside
00MENS,Old Windsor
00MENT,Oldfield
00MENU,Park
00MENW,Pinkneys Green
00MENX,Sunningdale
00MENY,Sunninghill and South Ascot
00MFNB,Arborfield
00MFNC,Barkham
00MFND,Bulmershe and Whitegates
00MFNE,Charvil
00MFNF,Coronation
00MFNG,Emmbrook
00MFNH,Evendons
00MFNJ,Finchampstead North
00MFNK,Finchampstead South
00MFNL,Hawkedon
00MFNM,Hillside
00MFNN,Hurst
00MFNP,Loddon
00MFNQ,Maiden Erlegh
00MFNR,Norreys
00MFNS,"Remenham, Wargrave and Ruscombe"
00MFNT,Shinfield North
00MFNU,Shinfield South
00MFNW,Sonning
00MFNX,South Lake
00MFNY,Swallowfield
00MFNZ,Twyford
00MFPA,Wescott
00MFPB,Winnersh
00MFPC,Wokingham Without
00MGNB,Bletchley and Fenny Stratford
00MGNC,Bradwell
00MGND,Campbell Park
00MGNE,Danesborough
00MGNF,Denbigh
00MGNG,Eaton Manor
00MGNH,Emerson Valley
00MGNJ,Furzton
00MGNK,Hanslope Park
00MGNL,Linford North
00MGNM,Linford South
00MGNN,Loughton Park
00MGNP,Middleton
00MGNQ,Newport Pagnell North
00MGNR,Newport Pagnell South
00MGNS,Olney
00MGNT,Sherington
00MGNU,Stantonbury
00MGNW,Stony Stratford
00MGNX,Walton Park
00MGNY,Whaddon
00MGNZ,Wolverton
00MGPA,Woughton
00MLND,Brunswick and Adelaide
00MLNE,Central Hove
00MLNF,East Brighton
00MLNG,Goldsmid
00MLNH,Hangleton and Knoll
00MLNJ,Hanover and Elm Grove
00MLNK,Hollingbury and Stanmer
00MLNL,Moulsecoomb and Bevendean
00MLNM,North Portslade
00MLNN,Patcham
00MLNP,Preston Park
00MLNQ,Queen's Park
00MLNR,Regency
00MLNS,Rottingdean Coastal
00MLNT,St. Peter's and North Laine
00MLNU,South Portslade
00MLNW,Stanford
00MLNX,Westbourne
00MLNY,Wish
00MLNZ,Withdean
00MLPA,Woodingdean
00MRMP,Baffins
00MRMQ,Central Southsea
00MRMR,Charles Dickens
00MRMS,Copnor
00MRMT,Cosham
00MRMU,Drayton and Farlington
00MRMW,Eastney and Craneswater
00MRMX,Fratton
00MRMY,Hilsea
00MRMZ,Milton
00MRNA,Nelson
00MRNB,Paulsgrove
00MRNC,St Jude
00MRND,St Thomas
00MSMR,Bargate
00MSMS,Bassett
00MSMT,Bevois
00MSMU,Bitterne
00MSMW,Bitterne Park
00MSMX,Coxford
00MSMY,Freemantle
00MSMZ,Harefield
00MSNA,Millbrook
00MSNB,Peartree
00MSNC,Portswood
00MSND,Redbridge
00MSNE,Shirley
00MSNF,Sholing
00MSNG,Swaythling
00MSNH,Woolston
00MWPC,Ashey
00MWPD,Bembridge North
00MWPE,Bembridge South
00MWPF,Binstead
00MWPG,Brading and St Helens
00MWPH,Brighstone and Calbourne
00MWPJ,Carisbrooke East
00MWPK,Carisbrooke West
00MWPL,Central Rural
00MWPM,"Chale, Niton and Whitwell"
00MWPN,Cowes Castle East
00MWPP,Cowes Castle West
00MWPQ,Cowes Central
00MWPR,Cowes Medina
00MWPS,East Cowes North
00MWPT,East Cowes South
00MWPU,Fairlee
00MWPW,Freshwater Afton
00MWPX,Freshwater Norton
00MWPY,Gurnard
00MWPZ,Lake North
00MWQA,Lake South
00MWQB,Mount Joy
00MWQC,Newchurch
00MWQD,Newport North
00MWQE,Newport South
00MWQF,Northwood
00MWQG,Osborne
00MWQH,Pan
00MWQJ,Parkhurst
00MWQK,Ryde North East
00MWQL,Ryde North West
00MWQM,Ryde South East
00MWQN,Ryde South West
00MWQP,St Johns East
00MWQQ,St Johns West
00MWQR,Sandown North
00MWQS,Sandown South
00MWQT,Seaview and Nettlestone
00MWQU,Shalfleet and Yarmouth
00MWQW,Shanklin Central
00MWQX,Shanklin North
00MWQY,Shanklin South
00MWQZ,Totland
00MWRA,Ventnor East
00MWRB,Ventnor West
00MWRC,Wootton
00MWRD,Wroxall and Godshill
00NAMA,Aberffraw
00NAMB,Amlwch Port
00NAMC,Amlwch Rural
00NAMD,Beaumaris
00NAME,Bodffordd
00NAMF,Bodorgan
00NAMG,Braint
00NAMH,Bryngwran
00NAMJ,Brynteg
00NAMK,Cadnant
00NAML,Cefni
00NAMM,Cwm Cadnant
00NAMN,Cyngar
00NAMP,Gwyngyll
00NAMQ,Holyhead Town
00NAMR,Kingsland
00NAMS,Llanbadrig
00NAMT,Llanbedrgoch
00NAMU,Llanddyfnan
00NAMW,Llaneilian
00NAMX,Llanfaethlu
00NAMY,Llanfair-yn-Neubwll
00NAMZ,Llanfihangel Ysgeifiog
00NANA,Llangoed
00NANB,Llanidan
00NANC,Llannerch-y-medd
00NAND,London Road
00NANE,Maeshyfryd
00NANF,Mechell
00NANG,Moelfre
00NANH,Morawelon
00NANJ,Parc a'r Mynydd
00NANK,Pentraeth
00NANL,Porthyfelin
00NANM,Rhosneigr
00NANN,Rhosyr
00NANP,Trearddur
00NANQ,Tudur
00NANR,Tysilio
00NANS,Valley
00NCQA,Aberdaron
00NCQB,Aberdovey
00NCQC,Abererch
00NCQD,Abermaw
00NCQE,Abersoch
00NCQF,Arllechwedd
00NCQG,Bala
00NCQH,Bethel
00NCQJ,Bontnewydd
00NCQK,Botwnnog
00NCQL,Bowydd and Rhiw
00NCQM,Brithdir and Llanfachreth/Ganllwyd/Llanelltyd
00NCQN,Bryn-crug/Llanfihangel
00NCQP,Cadnant
00NCQQ,Clynnog
00NCQR,Corris/Mawddwy
00NCQS,Criccieth
00NCQT,Cwm-y-Glo
00NCQU,Deiniol
00NCQW,Deiniolen
00NCQX,Dewi
00NCQY,Diffwys and Maenofferen
00NCQZ,Dolbenmaen
00NCRA,Dolgellau North
00NCRB,Dolgellau South
00NCRC,Dyffryn Ardudwy
00NCRD,Efail-newydd/Buan
00NCRE,Garth
00NCRF,Gerlan
00NCRG,Glyder
00NCRH,Groeslon
00NCRJ,Harlech
00NCRK,Hendre
00NCRL,Hirael
00NCRM,Llanaelhaearn
00NCRN,Llanbedr
00NCRP,Llanbedrog
00NCRQ,Llanberis
00NCRR,Llandderfel
00NCRS,Llanengan
00NCRT,Llangelynin
00NCRU,Llanllyfni
00NCRW,Llanrug
00NCRX,Llanuwchllyn
00NCRY,Llanwnda
00NCRZ,Llanystumdwy
00NCSA,Marchog
00NCSB,Menai (Bangor)
00NCSC,Menai (Caernarfon)
00NCSD,Morfa Nefyn
00NCSE,Nefyn
00NCSF,Ogwen
00NCSG,Peblig (Caernarfon)
00NCSH,Penisarwaun
00NCSJ,Penrhyndeudraeth
00NCSK,Pentir
00NCSL,Penygroes
00NCSM,Porthmadog East
00NCSN,Porthmadog West
00NCSP,Porthmadog-Tremadog
00NCSQ,Pwllheli North
00NCSR,Pwllheli South
00NCST,Seiont
00NCSU,Talysarn
00NCSW,Teigl
00NCSX,Trawsfynydd
00NCSY,Tregarth & Mynydd Llandygai
00NCSZ,Tudweiliog
00NCTA,Tywyn
00NCTB,Waunfawr
00NCTC,Y Felinheli
00NENT,Abergele Pensarn
00NENU,Betws-y-Coed
00NENW,Betws yn Rhos
00NENX,Bryn
00NENY,Caerhun
00NENZ,Capelulo
00NEPA,Colwyn
00NEPB,Conwy
00NEPC,Craig-y-Don
00NEPD,Crwst
00NEPE,Deganwy
00NEPF,Eglwysbach
00NEPG,Eirias
00NEPH,Gele
00NEPJ,Glyn
00NEPK,Gogarth
00NEPL,Gower
00NEPM,Kinmel Bay
00NEPN,Llanddulas
00NEPP,Llandrillo yn Rhos
00NEPQ,Llangernyw
00NEPR,Llansanffraid
00NEPS,Llansannan
00NEPT,Llysfaen
00NEPU,Marl
00NEPW,Mochdre
00NEPX,Mostyn
00NEPY,Pandy
00NEPZ,Pant-yr-afon/Penmaenan
00NEQA,Penrhyn
00NEQB,Pensarn
00NEQC,Pentre Mawr
00NEQD,Rhiw
00NEQE,Towyn
00NEQF,Trefriw
00NEQG,Tudno
00NEQH,Uwch Conwy
00NEQJ,Uwchaled
00NGNK,Bodelwyddan
00NGNL,Corwen
00NGNM,Denbigh Central
00NGNN,Denbigh Lower
00NGNP,Denbigh Upper/Henllan
00NGNQ,Dyserth
00NGNR,Efenechtyd
00NGNS,Llanarmon-yn-Ial/Llandegla
00NGNT,Llanbedr Dyffryn Clwyd/Llangynhafal
00NGNU,Llandrillo
00NGNW,Llandyrnog
00NGNX,Llanfair Dyffryn Clwyd/Gwyddelwern
00NGNY,Llangollen
00NGNZ,Llanrhaeadr-yng-Nghinmeirch
00NGPA,Prestatyn Central
00NGPB,Prestatyn East
00NGPC,Prestatyn Meliden
00NGPD,Prestatyn North
00NGPE,Prestatyn South West
00NGPF,Rhuddlan
00NGPG,Rhyl East
00NGPH,Rhyl South
00NGPJ,Rhyl South East
00NGPK,Rhyl South West
00NGPL,Rhyl West
00NGPM,Ruthin
00NGPN,St. Asaph East
00NGPP,St. Asaph West
00NGPQ,Trefnant
00NGPR,Tremeirchion
00NJPJ,Argoed
00NJPK,Aston
00NJPL,Bagillt East
00NJPM,Bagillt West
00NJPN,Broughton North East
00NJPP,Broughton South
00NJPQ,Brynford
00NJPR,Buckley Bistre East
00NJPS,Buckley Bistre West
00NJPT,Buckley Mountain
00NJPU,Buckley Pentrobin
00NJPW,Caergwrle
00NJPX,Caerwys
00NJPY,Cilcain
00NJPZ,Connah's Quay Central
00NJQA,Connah's Quay Golftyn
00NJQB,Connah's Quay South
00NJQC,Connah's Quay Wepre
00NJQD,Ewloe
00NJQE,Ffynnongroyw
00NJQF,Flint Castle
00NJQG,Flint Coleshill
00NJQH,Flint Oakenholt
00NJQJ,Flint Trelawny
00NJQK,Greenfield
00NJQL,Gronant
00NJQM,Gwernaffield
00NJQN,Gwernymynydd
00NJQP,Halkyn
00NJQQ,Hawarden
00NJQR,Higher Kinnerton
00NJQS,Holywell Central
00NJQT,Holywell East
00NJQU,Holywell West
00NJQW,Hope
00NJQX,Leeswood
00NJQY,Llanfynydd
00NJQZ,Mancot
00NJRA,Mold Broncoed
00NJRB,Mold East
00NJRC,Mold South
00NJRD,Mold West
00NJRE,Mostyn
00NJRF,New Brighton
00NJRG,Northop
00NJRH,Northop Hall
00NJRJ,Penyffordd
00NJRK,Queensferry
00NJRL,Saltney Mold Junction
00NJRM,Saltney Stonebridge
00NJRN,Sealand
00NJRP,Shotton East
00NJRQ,Shotton Higher
00NJRR,Shotton West
00NJRS,Trelawnyd and Gwaenysgor
00NJRT,Treuddyn
00NJRU,Whitford
00NLNW,Acton
00NLNX,Borras Park
00NLNY,Bronington
00NLNZ,Brymbo
00NLPA,Brynyffynnon
00NLPB,Bryn Cefn
00NLPC,Cartrefle
00NLPD,Cefn
00NLPE,Dyffryn Ceiriog/Ceiriog Valley
00NLPF,Chirk North
00NLPG,Chirk South
00NLPH,Coedpoeth
00NLPJ,Erddig
00NLPK,Esclusham
00NLPL,Garden Village
00NLPM,Gresford East and West
00NLPN,Grosvenor
00NLPP,Gwenfro
00NLPQ,Gwersyllt East and South
00NLPR,Gwersyllt North
00NLPS,Gwersyllt West
00NLPT,Hermitage
00NLPU,Holt
00NLPW,Johnstown
00NLPX,Little Acton
00NLPY,Llangollen Rural
00NLPZ,Llay
00NLQA,Maesydre
00NLQB,Marchwiel
00NLQC,Marford and Hoseley
00NLQD,Minera
00NLQE,New Broughton
00NLQF,Offa
00NLQG,Overton
00NLQH,Pant
00NLQJ,Penycae
00NLQK,Penycae and Ruabon South
00NLQL,Plas Madoc
00NLQM,Ponciau
00NLQN,Queensway
00NLQP,Rhosnesni
00NLQQ,Rossett
00NLQR,Ruabon
00NLQS,Smithfield
00NLQT,Stansty
00NLQU,Whitegate
00NLQW,Wynnstay
00NNQG,Aber-craf
00NNQH,Banwy
00NNQJ,Beguildy
00NNQK,Berriew
00NNQL,Blaen Hafren
00NNQM,Bronllys
00NNQN,Builth
00NNQP,Bwlch
00NNQQ,Caersws
00NNQR,Churchstoke
00NNQS,Crickhowell
00NNQT,Cwm-twrch
00NNQU,Disserth and Trecoed
00NNQW,Dolforwyn
00NNQX,Felin-fâch
00NNQY,Forden
00NNQZ,Glantwymyn
00NNRA,Glasbury
00NNRB,Guilsfield
00NNRC,Gwernyfed
00NNRD,Hay
00NNRE,Kerry
00NNRF,Knighton
00NNRG,Llanafanfawr
00NNRH,Llanbadarn Fawr
00NNRJ,Llanbrynmair
00NNRK,Llandinam
00NNRL,Llandrindod East/Llandrindod West
00NNRM,Llandrindod North
00NNRN,Llandrindod South
00NNRP,Llandrinio
00NNRQ,Llandysilio
00NNRR,Llanelwedd
00NNRS,Llanfair Caereinion
00NNRT,Llanfihangel
00NNRU,Llanfyllin
00NNRW,Llangattock
00NNRX,Llangors
00NNRY,Llangunllo
00NNRZ,Llangynidr
00NNSA,Llanidloes
00NNSB,Llanrhaeadr-ym-Mochnant
00NNSC,Llanrhaeadr-ym-Mochnant/Llansilin
00NNSD,Llansantffraid
00NNSE,Llanwrtyd Wells
00NNSF,Llanyre
00NNSG,Machynlleth
00NNSH,Maescar/Llywel
00NNSJ,Meifod
00NNSK,Montgomery
00NNSL,Nantmel
00NNSM,Newtown Central
00NNSN,Newtown East
00NNSP,Newtown Llanllwchaiarn North
00NNSQ,Newtown Llanllwchaiarn West
00NNSR,Newtown South
00NNST,Old Radnor
00NNSU,Presteigne
00NNSW,Rhayader
00NNSX,Rhiwcynon
00NNSY,St. David Within
00NNSZ,St. John
00NNTA,St. Mary
00NNTB,Talgarth
00NNTC,Talybont-on-Usk
00NNTD,Tawe-Uchaf
00NNTE,Trewern
00NNTF,Welshpool Castle
00NNTG,Welshpool Gungrog
00NNTH,Welshpool Llanerchyddol
00NNTJ,Ynyscedwyn
00NNTK,Yscir
00NNTL,Ystradgynlais
00NQNP,Aberaeron
00NQNQ,Aberporth
00NQNR,Aberteifi/Cardigan - Mwldan
00NQNS,Aberteifi/Cardigan - Rhyd-y-Fuwch
00NQNT,Aberteifi/Cardigan - Teifi
00NQNU,Aberystwyth Bronglais
00NQNW,Aberystwyth Canol/Central
00NQNX,Aberystwyth Gogledd/North
00NQNY,Aberystwyth Penparcau
00NQNZ,Aberystwyth Rheidol
00NQPA,Beulah
00NQPB,Borth
00NQPC,Capel Dewi
00NQPD,Ceulanamaesmawr
00NQPE,Ciliau Aeron
00NQPF,Faenor
00NQPG,Lampeter
00NQPH,Llanarth
00NQPJ,Llanbadarn Fawr - Padarn
00NQPK,Llanbadarn Fawr - Sulien
00NQPL,Llandyfriog
00NQPM,Llandysiliogogo
00NQPN,Llandysul Town
00NQPP,Llanfarian
00NQPQ,Llanfihangel Ystrad
00NQPR,Llangeitho
00NQPS,Llangybi
00NQPT,Llanrhystyd
00NQPU,Llansantffraed
00NQPW,Llanwenog
00NQPX,Lledrod
00NQPY,Melindwr
00NQPZ,New Quay
00NQQA,Penbryn
00NQQB,Pen-parc
00NQQC,Tirymynach
00NQQD,Trefeurig
00NQQE,Tregaron
00NQQF,Troedyraur
00NQQG,Ystwyth
00NSPH,Amroth
00NSPJ,Burton
00NSPK,Camrose
00NSPL,Carew
00NSPM,Cilgerran
00NSPN,Clydau
00NSPP,Crymych
00NSPQ,Dinas Cross
00NSPR,East Williamston
00NSPS,Fishguard North East
00NSPT,Fishguard North West
00NSPU,Goodwick
00NSPW,Haverfordwest: Castle
00NSPX,Haverfordwest: Garth
00NSPY,Haverfordwest: Portfield
00NSPZ,Haverfordwest: Prendergast
00NSQA,Haverfordwest: Priory
00NSQB,Hundleton
00NSQC,Johnston
00NSQD,Kilgetty/Begelly
00NSQE,Lampeter Velfrey
00NSQF,Lamphey
00NSQG,Letterston
00NSQH,Llangwm
00NSQJ,Llanrhian
00NSQK,Maenclochog
00NSQL,Manorbier
00NSQM,Martletwy
00NSQN,Merlin's Bridge
00NSQP,Milford: Central
00NSQQ,Milford: East
00NSQR,Milford: Hakin
00NSQS,Milford: Hubberston
00NSQT,Milford: North
00NSQU,Milford: West
00NSQW,Narberth
00NSQX,Narberth Rural
00NSQY,Newport
00NSQZ,Neyland: East
00NSRA,Neyland: West
00NSRB,Pembroke Dock: Central
00NSRC,Pembroke Dock: Llanion
00NSRD,Pembroke Dock: Market
00NSRE,Pembroke Dock: Pennar
00NSRF,Pembroke: Monkton
00NSRG,Pembroke: St. Mary North
00NSRH,Pembroke: St. Mary South
00NSRJ,Pembroke: St. Michael
00NSRK,Penally
00NSRL,Rudbaxton
00NSRM,St. David's
00NSRN,St. Dogmaels
00NSRP,St. Ishmael's
00NSRQ,Saundersfoot
00NSRR,Scleddau
00NSRS,Solva
00NSRT,Tenby: North
00NSRU,Tenby: South
00NSRW,The Havens
00NSRX,Wiston
00NUPW,Abergwili
00NUPX,Ammanford
00NUPY,Betws
00NUPZ,Bigyn
00NUQA,Burry Port
00NUQB,Bynea
00NUQC,Carmarthen Town North
00NUQD,Carmarthen Town South
00NUQE,Carmarthen Town West
00NUQF,Cenarth
00NUQG,Cilycwm
00NUQH,Cynwyl Elfed
00NUQJ,Cynwyl Gaeo
00NUQK,Dafen
00NUQL,Elli
00NUQM,Felinfoel
00NUQN,Garnant
00NUQP,Glanamman
00NUQQ,Glanymor
00NUQR,Glyn
00NUQS,Gorslas
00NUQT,Hendy
00NUQU,Hengoed
00NUQW,Kidwelly
00NUQX,Laugharne Township
00NUQY,Llanboidy
00NUQZ,Llanddarog
00NURA,Llandeilo
00NURB,Llandovery
00NURC,Llandybie
00NURD,Llanegwad
00NURE,Llanfihangel Aberbythych
00NURF,Llanfihangel-ar-Arth
00NURG,Llangadog
00NURH,Llangeler
00NURJ,Llangennech
00NURK,Llangunnor
00NURL,Llangyndeyrn
00NURM,Llannon
00NURN,Llansteffan
00NURP,Llanybydder
00NURQ,Lliedi
00NURR,Llwynhendy
00NURS,Manordeilo and Salem
00NURT,Pembrey
00NURU,Penygroes
00NURW,Pontamman
00NURX,Pontyberem
00NURY,Quarter Bach
00NURZ,St. Clears
00NUSA,St. Ishmael
00NUSB,Saron
00NUSC,Swiss Valley
00NUSD,Trelech
00NUSE,Trimsaran
00NUSF,Tycroes
00NUSG,Tyisha
00NUSH,Whitland
00NXNW,Bishopston
00NXNX,Bonymaen
00NXNY,Castle
00NXNZ,Clydach
00NXPA,Cockett
00NXPB,Cwmbwrla
00NXPC,Dunvant
00NXPD,Fairwood
00NXPE,Gorseinon
00NXPF,Gower
00NXPG,Gowerton
00NXPH,Killay North
00NXPJ,Killay South
00NXPK,Kingsbridge
00NXPL,Landore
00NXPM,Llangyfelach
00NXPN,Llansamlet
00NXPP,Lower Loughor
00NXPQ,Mawr
00NXPR,Mayals
00NXPS,Morriston
00NXPT,Mynyddbach
00NXPU,Newton
00NXPW,Oystermouth
00NXPX,Penclawdd
00NXPY,Penderry
00NXPZ,Penllergaer
00NXQA,Pennard
00NXQB,Penyrheol
00NXQC,Pontardulais
00NXQD,St. Thomas
00NXQE,Sketty
00NXQF,Townhill
00NXQG,Uplands
00NXQH,Upper Loughor
00NXQJ,West Cross
00NZMA,Aberavon
00NZMB,Aberdulais
00NZMC,Allt-wen
00NZMD,Baglan
00NZME,Blaengwrach
00NZMF,Briton Ferry East
00NZMG,Briton Ferry West
00NZMH,Bryn and Cwmavon
00NZMJ,Bryn-coch North
00NZMK,Bryn-coch South
00NZML,Cadoxton
00NZMM,Cimla
00NZMN,Coedffranc Central
00NZMP,Coedffranc North
00NZMQ,Coedffranc West
00NZMR,Crynant
00NZMS,Cwmllynfell
00NZMT,Cymmer
00NZMU,Dyffryn
00NZMW,Glyncorrwg
00NZMX,Glynneath
00NZMY,Godre'r graig
00NZMZ,Gwaun-Cae-Gurwen
00NZNA,Gwynfi
00NZNB,Lower Brynamman
00NZNC,Margam
00NZND,Neath East
00NZNE,Neath North
00NZNF,Neath South
00NZNG,Onllwyn
00NZNH,Pelenna
00NZNJ,Pontardawe
00NZNK,Port Talbot
00NZNL,Resolven
00NZNM,Rhos
00NZNN,Sandfields East
00NZNP,Sandfields West
00NZNQ,Seven Sisters
00NZNR,Tai-bach
00NZNS,Tonna
00NZNT,Trebanos
00NZNU,Ystalyfera
00PBNF,Aberkenfig
00PBNG,Bettws
00PBNH,Blackmill
00PBNJ,Blaengarw
00PBNK,Brackla
00PBNL,Bryncethin
00PBNM,Bryncoch
00PBNN,"Bryntirion, Laleston and Merthyr Mawr"
00PBNP,Caerau
00PBNQ,Cefn Cribwr
00PBNR,Cefn Glas
00PBNS,Coity
00PBNT,Cornelly
00PBNU,Coychurch Lower
00PBNW,Felindre
00PBNX,Hendre
00PBNY,Litchard
00PBNZ,Llangeinor
00PBPA,Llangewydd and Brynhyfryd
00PBPB,Llangynwyd
00PBPC,Maesteg East
00PBPD,Maesteg West
00PBPE,Morfa
00PBPF,Nant-y-moel
00PBPG,Newcastle
00PBPH,Newton
00PBPJ,Nottage
00PBPK,Ogmore Vale
00PBPL,Oldcastle
00PBPM,Pendre
00PBPN,Penprysg
00PBPP,Pen-y-fai
00PBPQ,Pontycymmer
00PBPR,Porthcawl East Central
00PBPS,Porthcawl West Central
00PBPT,Pyle
00PBPU,Rest Bay
00PBPW,Sarn
00PBPX,Ynysawdre
00PDMZ,Baruc
00PDNA,Buttrills
00PDNB,Cadoc
00PDNC,Castleland
00PDND,Cornerswell
00PDNE,Court
00PDNF,Cowbridge
00PDNG,Dinas Powys
00PDNH,Dyfan
00PDNJ,Gibbonsdown
00PDNK,Illtyd
00PDNL,Llandough
00PDNM,Llandow/Ewenny
00PDNN,Llantwit Major
00PDNP,Peterston-super-Ely
00PDNQ,Plymouth
00PDNR,Rhoose
00PDNS,St. Athan
00PDNT,St. Augustine's
00PDNU,St. Bride's Major
00PDNW,Stanwell
00PDNX,Sully
00PDNY,Wenvoe
00PFPH,Aberaman North
00PFPJ,Aberaman South
00PFPK,Abercynon
00PFPL,Aberdare East
00PFPM,Aberdare West/Llwydcoed
00PFPN,Beddau
00PFPP,Brynna
00PFPQ,Church Village
00PFPR,Cilfynydd
00PFPS,Cwm Clydach
00PFPT,Cwmbach
00PFPU,Cymmer
00PFPW,Ferndale
00PFPX,Gilfach Goch
00PFPY,Glyncoch
00PFPZ,Graig
00PFQA,Hawthorn
00PFQB,Hirwaun
00PFQC,Llanharan
00PFQD,Llanharry
00PFQE,Llantrisant Town
00PFQF,Llantwit Fardre
00PFQG,Llwyn-y-pia
00PFQH,Maerdy
00PFQJ,Mountain Ash East
00PFQK,Mountain Ash West
00PFQL,Penrhiwceiber
00PFQM,Pentre
00PFQN,Pen-y-graig
00PFQP,Pen-y-waun
00PFQQ,Pont-y-clun
00PFQR,Pontypridd Town
00PFQS,Porth
00PFQT,Rhigos
00PFQU,Rhondda
00PFQW,Rhydfelen Central/Ilan
00PFQX,Taffs Well
00PFQY,Talbot Green
00PFQZ,Ton-teg
00PFRA,Tonypandy
00PFRB,Tonyrefail East
00PFRC,Tonyrefail West
00PFRD,Trallwng
00PFRE,Trealaw
00PFRF,Treforest
00PFRG,Treherbert
00PFRH,Treorchy
00PFRJ,Tylorstown
00PFRK,Tyn-y-nant
00PFRL,Ynyshir
00PFRM,Ynysybwl
00PFRN,Ystrad
00PHMA,Bedlinog
00PHMB,Cyfarthfa
00PHMC,Dowlais
00PHMD,Gurnos
00PHME,Merthyr Vale
00PHMF,Park
00PHMG,Penydarren
00PHMH,Plymouth
00PHMJ,Town
00PHMK,Treharris
00PHML,Vaynor
00PKNP,Aberbargoed
00PKNQ,Abercarn
00PKNR,Aber Valley
00PKNS,Argoed
00PKNT,Bargoed
00PKNU,"Bedwas, Trethomas and Machen"
00PKNW,Blackwood
00PKNX,Cefn Fforest
00PKNY,Crosskeys
00PKNZ,Crumlin
00PKPA,Darren Valley
00PKPB,Gilfach
00PKPC,Hengoed
00PKPD,Llanbradach
00PKPE,Maesycwmmer
00PKPF,Morgan Jones
00PKPG,Moriah
00PKPH,Nelson
00PKPJ,Newbridge
00PKPK,New Tredegar
00PKPL,Pengam
00PKPM,Penmaen
00PKPN,Penyrheol
00PKPP,Pontllanfraith
00PKPQ,Pontlottyn
00PKPR,Risca East
00PKPS,Risca West
00PKPT,St. Cattwg
00PKPU,St. James
00PKPW,St. Martins
00PKPX,Twyn Carno
00PKPY,Ynysddu
00PKPZ,Ystrad Mynach
00PLMA,Abertillery
00PLMB,Badminton
00PLMC,Beaufort
00PLMD,Blaina
00PLME,Brynmawr
00PLMF,Cwm
00PLMG,Cwmtillery
00PLMH,Ebbw Vale North
00PLMJ,Ebbw Vale South
00PLMK,Georgetown
00PLML,Llanhilleth
00PLMM,Nantyglo
00PLMN,Rassau
00PLMP,Sirhowy
00PLMQ,Six Bells
00PLMR,Tredegar Central and West
00PMNC,Abersychan
00PMND,Blaenavon
00PMNE,Brynwern
00PMNF,Coed Eva
00PMNG,Croesyceiliog North
00PMNH,Croesyceiliog South
00PMNJ,Cwmyniscoy
00PMNK,Fairwater
00PMNL,Greenmeadow
00PMNM,Llantarnam
00PMNN,Llanyrafon North
00PMNP,Llanyrafon South
00PMNQ,New Inn
00PMNR,Panteg
00PMNS,Pontnewydd
00PMNT,Pontnewynydd
00PMNU,Pontypool
00PMNW,St. Cadocs and Penygarn
00PMNX,St. Dials
00PMNY,Snatchwood
00PMNZ,Trevethin
00PMPA,Two Locks
00PMPB,Upper Cwmbran
00PMPC,Wainfelin
00PPNQ,Caerwent
00PPNR,Caldicot Castle
00PPNS,Cantref
00PPNT,Castle
00PPNU,Croesonen
00PPNW,Crucorney
00PPNX,Devauden
00PPNY,Dewstow
00PPNZ,Dixton with Osbaston
00PPPA,Drybridge
00PPPB,Goetre Fawr
00PPPC,Green Lane
00PPPD,Grofield
00PPPE,Lansdown
00PPPF,Larkfield
00PPPG,Llanbadoc
00PPPH,Llanelly Hill
00PPPJ,Llanfoist Fawr
00PPPK,Llangybi Fawr
